RPM Function ID and Name,RPM Activity ID and Name,Capability ID,"(I)input
(P)process
(O)output",Business Capability Statement,Authoritative Reference,Other Source
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.072,O,Provide contract or contract modification information for storage management services and approval information, ,
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.081,I,"Capture storage management services fulfillment information, including issues and corrective action(s)",,
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.082,P,"Evaluate fulfillment of storage management services, including issues and corrective action(s), and record results",,
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.083,O,"Provide evaluation results for fulfillment of storage management services, including issues and corrective action(s)",,
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.091,P,Conduct storage space utilization study and document results, ,
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.092,O,Provide storage space utilization study information, ,
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.101,P,Develop and document request for information concerning plans for underutilized storage space, ,
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.102,O,Provide request for information concerning plans for underutilized storage space, ,
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.111,P,Evaluate response to request for information concerning plans for underutilized storage space and record results, ,
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.112,O,Provide evaluation results for response to request for information concerning plans for underutilized storage space, ,
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.121,P,Determine and document alternatives for use of underutilized storage space , ,
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.122,O,Provide alternatives for use of underutilized storage space , ,
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.131,P,Identify and document unneeded storage space based on alternatives analysis for use of underutilized storage space, ,
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.132,O,Provide unneeded storage space based on alternatives analysis for use of underutilized storage space, ,
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.141,P,Determine and document unneeded storage space, ,
RPM.050 Real Property Asset Tenant Services,RPM.050.020 Real Property Storage Management,RPM.050.020.142,O,Provide unneeded storage space information, ,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.011,P,Develop and document real property room management policies and procedures,,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.012,O,Provide real property room management policies and procedures,,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.021,P,Develop and document real property room management plans,,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.022,O,Provide real property room management plans,,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.031,I,Capture request for room reservation,,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.032,P,"Evaluate request for reservation to determine whether the time period, type of room, and services are available to meet needs and record results",,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.033,O,"Provide evaluation results concerning room reservation request to determine whether the time period, type of room, and services are available to meet needs",,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.041,P,Identify room assignment for room reservation request and document results,,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.042,O,Provide room assignment information for room reservation request,,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.051,P,Determine configuration and meeting support resources needed to fulfill room reservation request,,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.052,O,Provide configuration and meeting support resources needed to fulfill room reservation request,,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.061,P,"Develop room reservation agreement or update room reservation agreement, route for review and approval, and document results",,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.062,O,Provide room reservation agreement or update room reservation agreement and approval information,,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.071,P,Develop and document notification of room reservation and/or assignment of configuration and meeting support resources,,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.072,O,Provide notification of room reservation and/or assignment of configuration and meeting support resources,,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.081,P,"Develop, maintain, and document room, configuration, and meeting support information",,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.082,O,"Provide room, configuration, and meeting support information",,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.091,P,Evaluate room utilization and meeting support information and record results,,
RPM.050 Real Property Asset Tenant Services,RPM.050.030 Real Property Room Management,RPM.050.030.092,O,Provide evaluation results for room utilization and meeting support information,,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.011,P,"Develop and document real property move-in, relocation, and packing policies and procedures",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.012,O,"Provide real property move-in, relocation, and packing policies and procedures",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.021,P,"Develop and document real property move-in, relocation, and packing management plans",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.022,O,"Provide real property move-in, relocation, and packing management plans",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.031,I,"Capture request for office move-in, relocation, and packing to new or existing space",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.032,P,"Evaluate request for office move-in, relocation, and packing to new or existing space, determine whether the time period, type of services, and level of resources are available to meet needs, and record results",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.033,O,"Provide evaluation results for request for office move-in, relocation, and packing to new or existing space, including whether the time period, type of services, and level of resources are available to meet needs",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.041,P,"Approve/disapprove request for office move-in, relocation, and packing to new or existing space",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.042,O,"Provide approval/disapproval information concerning request for office move-in, relocation, and packing to new or existing space",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.051,P,"Determine and document resources and schedule for office move-in, relocation, and packing to new or existing space",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.052,O,"Provide resources and schedule for office move-in, relocation, and packing to new or existing space",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.061,P,"Develop and document notification of resources and schedule for office move-in, relocation, and packing to new or existing space",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.062,O,"Provide notification of resources and schedule for office move-in, relocation, and packing to new or existing space",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.071,P,"Determine, assign, and document relocation specialist for management of agency move",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.072,O,Provide assignment information concerning relocation specialist for management of agency move,,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.081,P,"Develop tenant move, relocation, and move-in services agreement or agreement modification information, route for review and approval, and document results",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.082,O,"Provide tenant move, relocation, and move-in services agreement or agreement modification information and approval information",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.091,P,"Develop move, relocation, and move-in services contract or contract modification information, route for review and approval, and document results",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.092,O,"Provide move, relocation, and move-in services contract or contract modification information and approval information",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.101,I,"Capture move, relocation, and move-in services fulfillment information, including any issues and corrective actions",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.102,P,"Evaluate fulfillment of move, relocation, and move-in services, including any issues and corrective actions, and record results",,
RPM.050 Real Property Asset Tenant Services,"RPM.050.040 Real Property Facility Move-In, Packing, and Relocation",RPM.050.040.103,O,"Provide evaluation results for fulfillment of move, relocation, and move-in services, including any issues and corrective actions",,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.011,P,Develop and document other real property tenant service policies and procedures,,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.012,O,Provide other real property tenant service policies and procedures,,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.021,P,Develop and document other real property tenant service management plans,,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.022,O,Provide other real property tenant service management plans,,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.031,I,Capture request for other real property tenant service,,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.032,P,"Evaluate request for other real property tenant service to determine whether the time period, type of space, and services are available to meet needs and record results",,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.033,O,"Provide evaluation results concerning request for other real property tenant service, including whether the time period, type of space, and services are available to meet needs",,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.041,P,Approve/disapprove request for other real property tenant service ,,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.042,O,Provide approval/disapproval information concerning request for other real property tenant service ,,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.051,P,"Develop tenant agreement or agreement modification information for other real property tenant service, route for review and approval, and document results ",,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.052,O,Provide tenant agreement or agreement modification information for other real property tenant service and approval information ,,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.061,P,"Develop contract or contract modification information, route for review and approval, and document results ",,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.062,O,Provide contract or contract modification information for other real property tenant service and approval information ,,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.071,I,Capture other real property tenant service request fulfillment information ,,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.072,P,"Evaluate fulfillment of other real property tenant service request, including issues and corrective action(s), and record results ",,
RPM.050 Real Property Asset Tenant Services,RPM.050.050 Other Real Property Tenant Services,RPM.050.050.073,O,"Provide evaluation results for fulfillment of other real property tenant services, including issues and corrective action(s)",,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.010 Real Property Unneeded Agency Asset Identification,RPM.060.010.011,P,Evaluate information about unneeded internal agency real property asset space and record results,"41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.010 Real Property Unneeded Agency Asset Identification,RPM.060.010.012,O,Provide evaluation results concerning unneeded internal agency real property asset space,"41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.010 Real Property Unneeded Agency Asset Identification,RPM.060.010.021,P,"Develop and document request for information concerning unneeded internal real property asset space, including potential modifications","41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.010 Real Property Unneeded Agency Asset Identification,RPM.060.010.022,O,"Provide request for information concerning unneeded internal real property asset space, including potential modifications","41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.010 Real Property Unneeded Agency Asset Identification,RPM.060.010.031,I,"Capture response to request for information concerning unneeded internal real property asset space, including potential modifications","41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.010 Real Property Unneeded Agency Asset Identification,RPM.060.010.032,P,"Evaluate response to request for information concerning unneeded internal real property asset space, including potential modifications, and record results","41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.010 Real Property Unneeded Agency Asset Identification,RPM.060.010.033,O,"Provide evaluation results for response to request for information concerning unneeded internal real property asset space, including potential modifications, and record results","41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.010 Real Property Unneeded Agency Asset Identification,RPM.060.010.041,P,"Evaluate condition and expected life of unneeded internal real property asset space, determine if it can be reused or modified for reuse within the agency, and record results","41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.010 Real Property Unneeded Agency Asset Identification,RPM.060.010.042,O,"Provide evaluation results for condition and expected life of unneeded internal real property asset space, including determination of whether it can be reused or modified for reuse within the agency","41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.010 Real Property Unneeded Agency Asset Identification,RPM.060.010.051,P,Determine and document unneeded agency real property asset space information,"41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.010 Real Property Unneeded Agency Asset Identification,RPM.060.010.052,O,Provide unneeded agency real property asset space information,"41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.010 Real Property Unneeded Agency Asset Identification,RPM.060.010.053,O,Provide unneeded agency real property asset space information to OMB-designated repository,"41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.011,P,Determine and document alternatives for real property asset reuse by another agency or disposal,"41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.012,O,Provide alternatives for real property reuse by another agency or disposal,"41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.021,P,Determine and document costs associated with real property asset reuse by another agency or disposal alternatives,"41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.022,O,Provide costs associated with real property asset reuse by another agency or disposal alternatives,"41 CFR 102-75.10, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.031,P,"Evaluate impacts of real property asset reuse by another agency or disposal alternatives; including historical, environmental, geological, community, and other impacts, and record results","41 CFR 102-75.125, 130; 102-75.1260; 
42 U.S.C. 4321 National Environmental Policy Act;
42 U.S.C. 9601 Comprehensive Environmental Response, Compensation, and Liability Act;
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.032,O,"Provide impacts of real property asset reuse by another agency or disposal alternatives; including historical, environmental, geological, community, and other impacts","41 CFR 102-75.125, 130; 
42 U.S.C. 4321 National Environmental Policy Act;
42 U.S.C. 9601 Comprehensive Environmental Response, Compensation, and Liability Act",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.041,P,Develop and document impact mitigation strategies for real property asset reuse by another agency or disposal approach,"41 CFR 102-75.125, 130; 
42 U.S.C. 4321 National Environmental Policy Act;
42 U.S.C. 9601 Comprehensive Environmental Response, Compensation, and Liability Act",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.042,O,Provide impact mitigation strategies for real property asset reuse by another agency or disposal approach,"41 CFR 102-75.125, 130; 
42 U.S.C. 4321 National Environmental Policy Act;
42 U.S.C. 9601 Comprehensive Environmental Response, Compensation, and Liability Act",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.051,P,Determine viability of real property asset reuse by another agency or disposal approach based on impacts evaluation and document results,"41 CFR 102-75.75, 102-75.175, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.052,O,Provide viability of real property asset reuse by another agency or disposal approach based on impacts evaluation,"41 CFR 102-75.75,; 102-75.175, 102-75.1220 -- 1290
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.061,P,"Evaluate real property asset reuse or disposal alternatives against other agency needs, disposal priorities, impacts, and costs and record results","41 CFR 102-75.75, 102-75.175, 102-75.1260
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.062,O,"Provide evaluation results for real property asset reuse or disposal alternatives against other agency needs, disposal priorities, impacts, and costs","41 CFR 102-75.75, 102-75.175, 102-75.1245 --1250
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.071,P,Determine and document preferred alternative for unneeded real property asset ,"41 CFR 102-75.75, 102-75.175, 102-75.1245 --1250
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.072,O,Provide preferred alternative for unneeded real property asset ,"41 CFR 102-75.75, 102-75.175, 102-75.1245 --1250
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.073,O,Provide preferred alternative for unneeded real property asset to OMB-designated repository,"41 CFR 102-75.75, 102-75.175, 102-75.1245 --1250
",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.081,P,Develop and document budget estimate for preferred alternative for unneeded real property asset ,41 CFR 102-75.1275,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.020 Real Property Asset Reuse/ Disposal Alternatives Analysis,RPM.060.020.082,O,Provide budget estimate for preferred alternative for unneeded real property asset ,41 CFR 102-75.1275,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.030 Real Property Asset Reuse Management,RPM.060.030.011,P,Develop and document real property asset reuse management plans,41 CFR 102-75.30,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.030 Real Property Asset Reuse Management,RPM.060.030.012,O,Provide real property asset reuse management plans,41 CFR 102-75.30,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.030 Real Property Asset Reuse Management,RPM.060.030.021,P,Identify and document sources of information for real property assets available for reuse,41 CFR 102-75.1220-1225,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.030 Real Property Asset Reuse Management,RPM.060.030.022,O,Provide sources of information for real property assets available for reuse,41 CFR 102-75.1220-1225,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.030 Real Property Asset Reuse Management,RPM.060.030.031,P,Develop and document notification to other agencies of existing unneeded agency real property asset availability,41 CFR 102-75.1220-1225,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.030 Real Property Asset Reuse Management,RPM.060.030.032,O,Provide notification to other agencies of existing unneeded agency real property asset availability,41 CFR 102-75.1220-1225,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.030 Real Property Asset Reuse Management,RPM.060.030.041,P,Evaluate other agency request with supporting information for unneeded agency real property asset and record results,"41 CFR 102-75.65, 102-75.1220-1225, 102-75.1225",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.030 Real Property Asset Reuse Management,RPM.060.030.042,O,Provide evaluation results concerning other agency request with supporting information for unneeded agency real property asset,"41 CFR 102-75.65, 102-75.1220-1225, 102-75.1225",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.030 Real Property Asset Reuse Management,RPM.060.030.051,P,Determine and document other agency selected for transfer of unneeded agency real property asset,"41 CFR 102-75.30, 102-75.1225",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.030 Real Property Asset Reuse Management,RPM.060.030.052,O,Provide other agency selected for transfer of unneeded agency real property asset,"41 CFR 102-75.30, 102-75.1225",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.030 Real Property Asset Reuse Management,RPM.060.030.061,P,"Develop draft interagency agreement, information for real property asset transfer or exchange to another agency, route for review and feedback, and document results consistent with 41 CFR","41 CFR 102-75.190, 102-75.195, 102-75.200, 102-75.205, 102-75.1270 -- 1290",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.030 Real Property Asset Reuse Management,RPM.060.030.062,O,Provide draft interagency agreement information for real property asset transfer or exchange to another agency for review and feedback consistent with 41 CFR,"41 CFR 102-75.190, 102-75.195, 102-75.200, 102-75.205, 102-75.1270 -- 1290",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.030 Real Property Asset Reuse Management,RPM.060.030.071,I,Capture feedback on draft interagency agreement information for real property asset transfer or exchange to another agency consistent with 41 CFR,"41 CFR 102-75.190, 102-75.195, 102-75.200, 102-75.205, 102-75.1270 -- 1290",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.030 Real Property Asset Reuse Management,RPM.060.030.072,P,"Develop final interagency agreement with supporting information for real property asset transfer or exchange to another agency, route for review and approval, and document results consistent with 41 CFR","41 CFR 102-75.190, 102-75.195, 102-75.200, 102-75.205, 102-75.1270 -- 1290",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.030 Real Property Asset Reuse Management,RPM.060.030.073,O,Provide final interagency agreement with supporting information for real property asset transfer or exchange to another agency and approval information consistent with 41 CFR,"TFM, Part 1, Chapter 9500; 41 CFR 102-75.190, 102-75.195, 102-75.200, 102-75.205, 102-75.1275",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.011,P,Develop and document real property asset disposal management policies and procedures,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.012,O,Provide real property asset disposal management policies and procedures,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.021,P,Develop and document real property asset disposal management plans,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.022,O,Provide real property asset disposal management plans,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.031,P,Identify and document personal property that must be disposed of prior to real property asset disposal,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.032,O,Provide personal property that must be disposed of prior to real property asset disposal,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.041,P,Develop and document request to dispose of personal property preventing real property asset disposal,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.042,O,Provide request to dispose of personal property preventing real property asset disposal,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.051,P,"Develop and document real property asset decommissioning plan for unneeded real property asset, route for review and approval, and record results",,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.052,O,Provide real property asset decommissioning plan and approval information,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.061,P,"Evaluate real property asset decommissioning progress against plan, determine issues and concerns, and record results
",,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.062,O,"Provide evaluation results for real property asset decommissioning progress against plan, including issues and concerns ",,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.071,P,"Develop notification of real property asset decommissioning progress issues and concerns, request corrective action plan, and document results",,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.072,O,Provide notification of real property asset decommissioning progress issues and concerns and request for corrective action plan ,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.081,I,Capture corrective action plan or updates to corrective action plan for remedying real property asset decommissioning progress issues and concerns,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.082,P,Evaluate corrective action plan or updates to corrective action plan for remedying real property asset decommissioning progress issues and concerns and record results,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.083,O,Provide evaluation results for corrective action plan or updates to corrective action plan for remedying real property asset decommissioning progress issues and concerns,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.091,P,Develop and document feedback on corrective action plan or updates to corrective action plan for remedying real property asset decommissioning progress issues and concerns,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.092,O,Provide feedback on corrective action plan or updates to corrective action plan for remedying real property asset decommissioning progress issues and concerns,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.101,I,Capture status information concerning corrective action plan for remedying real property asset decommissioning progress issues and concerns,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.102,P,Evaluate status information concerning corrective action plan for remedying real property asset decommissioning progress issues and concerns and record results,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.103,O,Provide evaluation results for status information concerning corrective action plan for remedying real property asset decommissioning progress issues and concerns,,
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.111,P,Develop public notification of surplus real property assets,"41 CFR 102-75.15, 102-75.255, 102-76.935, 102-75.755, 830
",
